epoch,train_loss,train_acc,val_loss,val_acc,modelo,experimento,learning_rate,batch_size,epochs_total,mejor_epoch,mejor_val_accuracy
1,1.5804221247727017,26.487654320987655,1.497225324312846,38.65555555555556,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
2,1.3430822585363809,42.69259259259259,1.2211401992373996,45.983333333333334,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
3,1.1584566651650194,50.36296296296296,1.1117957300610013,52.672222222222224,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
4,1.080666980653439,53.57839506172839,1.0710094703568354,53.91111111111111,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
5,1.0372492528561525,55.69506172839506,1.038393259048462,55.394444444444446,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
6,1.0078840735573438,56.81049382716049,1.0211708082093134,56.1,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
7,0.9876956902210068,57.772839506172836,1.0080210367838542,56.416666666666664,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
8,0.9720977136174088,58.60987654320988,0.9954075647724999,57.61666666666667,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
9,0.9582482002816111,59.227777777777774,0.9975826607810127,57.65555555555556,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
10,0.9467054410550579,59.885185185185186,0.9835049245092604,58.15,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
11,0.9372848590964791,60.32283950617284,0.9717544317245483,59.0,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
12,0.9288317085062183,60.74135802469136,0.9774105019039578,58.81666666666667,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
13,0.9186698880585484,61.141975308641975,0.9685654309060838,59.1,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
14,0.9117859470769294,61.48456790123457,0.9730938110086653,58.55555555555556,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
15,0.9056615874452411,61.82098765432099,0.9704663389258914,58.97222222222222,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
16,0.8984800790840725,62.07098765432099,0.9724653595023685,58.394444444444446,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
17,0.8933467715041442,62.38765432098766,0.9628576073381636,59.48888888888889,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
18,0.8887711797120437,62.512962962962966,0.9597470396094852,59.40555555555556,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
19,0.8844175031350093,62.696913580246914,0.9624255696932474,58.977777777777774,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
20,0.8781706930706336,63.056172839506175,0.9723562565114763,58.62222222222222,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
